"filename", "language", "C++", "JSON", "Markdown", "Dart", "YAML", "Swift", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Kadir\OneDrive\Escritorio\edupro\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 14, 34
"c:\Users\Kadir\OneDrive\Escritorio\edupro\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 7, 12, 72
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\google-services.json", "JSON", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 11, 1, 45
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Kadir\OneDrive\Escritorio\edupro\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
