Date : 2024-06-12 23:46:38
Directory : c:\Users\Kadir\OneDrive\Escritorio\edupro
Total : 72 files,  4445 codes, 340 comments, 465 blanks, all 5250 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         24 |      2,874 |         91 |        184 |      3,149 |
| C++        |         16 |        548 |        127 |        188 |        863 |
| XML        |         10 |        469 |         53 |         12 |        534 |
| JSON       |          6 |        297 |          0 |          4 |        301 |
| Groovy     |          3 |         92 |          9 |         20 |        121 |
| Swift      |          6 |         60 |          7 |         20 |         87 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         36 |         37 |         13 |         86 |
| Markdown   |          2 |         23 |          0 |         16 |         39 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |         72 |      4,445 |        340 |        465 |      5,250 |
| . (Files)                                                                                               |          4 |         57 |         37 |         27 |        121 |
| android                                                                                                 |         13 |        213 |         60 |         31 |        304 |
| android (Files)                                                                                         |          3 |         42 |          2 |          9 |         53 |
| android\app                                                                                             |          9 |        166 |         58 |         21 |        245 |
| android\app (Files)                                                                                     |          2 |        101 |          7 |         12 |        120 |
| android\app\src                                                                                         |          7 |         65 |         51 |          9 |        125 |
| android\app\src\debug                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                    |          5 |         59 |         43 |          7 |        109 |
| android\app\src\main (Files)                                                                            |          1 |         33 |         11 |          1 |         45 |
| android\app\src\main\res                                                                                |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                       |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                   |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                         |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                   |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                          |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                  |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                     |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                              |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                      |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                         |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                              |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                           |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                         |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                   |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                     |         23 |      2,862 |         79 |        178 |      3,119 |
| lib (Files)                                                                                             |          3 |         96 |         20 |          8 |        124 |
| lib\models                                                                                              |          1 |          5 |          0 |          2 |          7 |
| lib\services                                                                                            |          3 |        200 |          4 |         23 |        227 |
| lib\shared                                                                                              |          6 |        381 |          3 |         31 |        415 |
| lib\shared\widgets                                                                                      |          6 |        381 |          3 |         31 |        415 |
| lib\shared\widgets (Files)                                                                              |          1 |         41 |          0 |          4 |         45 |
| lib\shared\widgets\nav                                                                                  |          4 |        329 |          3 |         25 |        357 |
| lib\shared\widgets\warnings                                                                             |          1 |         11 |          0 |          2 |         13 |
| lib\ui                                                                                                  |         10 |      2,180 |         52 |        114 |      2,346 |
| lib\ui\admin                                                                                            |          1 |        295 |          2 |          9 |        306 |
| lib\ui\views                                                                                            |          9 |      1,885 |         50 |        105 |      2,040 |
| lib\ui\views\auth                                                                                       |          3 |        535 |          6 |         29 |        570 |
| lib\ui\views\home                                                                                       |          6 |      1,350 |         44 |         76 |      1,470 |
| linux                                                                                                   |          5 |        102 |         33 |         44 |        179 |
| linux (Files)                                                                                           |          3 |         94 |         24 |         33 |        151 |
| linux\flutter                                                                                           |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                                   |          6 |        452 |          5 |         16 |        473 |
| macos\Flutter                                                                                           |          1 |         14 |          3 |          4 |         21 |
| macos\Runner                                                                                            |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                    |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                       |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                            |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                         |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                 |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                    |          1 |         12 |         12 |          6 |         30 |
| web                                                                                                     |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                 |         10 |        445 |         94 |        143 |        682 |
| windows\flutter                                                                                         |          2 |         17 |          9 |         11 |         37 |
| windows\runner                                                                                          |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Kadir\OneDrive\Escritorio\edupro\README.md                                                     | Markdown   |         20 |          0 |         14 |         34 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\analysis_options.yaml                                         | YAML       |          3 |         22 |          4 |         29 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\build.gradle                                      | Groovy     |         53 |          7 |         12 |         72 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\google-services.json                              | JSON       |         48 |          0 |          0 |         48 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\main\AndroidManifest.xml                      | XML        |         33 |         11 |          1 |         45 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\build.gradle                                          | Groovy     |         16 |          0 |          3 |         19 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\android\settings.gradle                                       | Groovy     |         23 |          2 |          5 |         30 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\firebase.json                                                 | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
